1, 1
2, 1
3, 1
4, 1
5, 1
6, 1
7, 1
8, 1
9, 1
10, 1
11, 2
12, 2
13, 2
14, 2
15, 2
16, 2
17, 2
18, 2
19, 2
20, 2
21, 3
22, 3
23, 3
24, 3
25, 3
26, 3
27, 3
28, 3
29, 3
30, 3
31, 4
32, 4
33, 4
34, 4
35, 4
36, 4
37, 4
38, 4
39, 4
40, 4
41, 2
42, 2
43, 2
44, 2
45, 2
46, 2
47, 2
48, 2
49, 2
50, 2
51, 5
52, 5
53, 5
54, 5
55, 5
56, 5
57, 5
58, 5
59, 5
60, 5
61, 6
62, 6
63, 6
64, 6
65, 6
66, 6
67, 6
68, 6
69, 6
70, 6
71, 7
72, 7
73, 7
74, 7
75, 7
76, 7
77, 7
78, 7
79, 7
80, 7
81, 8
82, 8
83, 8
84, 8
85, 8
86, 8
87, 8
88, 8
89, 8
90, 8
91, 2
92, 2
93, 2
94, 2
95, 2
96, 2
97, 2
98, 2
99, 2
100, 2
101, 1
102, 1
103, 1
104, 1
105, 1
106, 1
107, 1
108, 1
109, 1
110, 1
111, 2
112, 2
113, 2
114, 2
115, 2
116, 2
117, 2
118, 2
119, 2
120, 2
121, 9
122, 9
123, 9
124, 9
125, 9
126, 9
127, 9
128, 9
129, 9
130, 9
131, 10
132, 10
133, 10
134, 10
135, 10
136, 10
137, 10
138, 10
139, 10
140, 10
141, 6
142, 6
143, 6
144, 6
145, 6
146, 6
147, 6
148, 6
149, 6
150, 6
