1, 1
2, 2
3, 3
4, 1
5, 4
6, 4
7, 5
8, 6
9, 7
10, 1
11, 7
12, 7
13, 8
14, 9
15, 1
16, 2
17, 5
18, 8
19, 2
20, 2
21, 10
22, 1
23, 9
24, 10
25, 9
26, 10
27, 9
28, 4
29, 5
30, 2
31, 3
32, 10
33, 10
34, 5
35, 8
36, 4
37, 11
38, 3
39, 9
40, 9
41, 8
42, 9
43, 6
44, 8
45, 11
46, 10
47, 5
48, 4
49, 7
50, 2
51, 4
52, 10
53, 3
54, 6
55, 5
56, 3
57, 1
58, 10
59, 1
60, 10
61, 6
62, 5
63, 5
64, 7
65, 6
66, 8
67, 9
68, 2
69, 3
70, 3
71, 6
72, 8
73, 3
74, 12
75, 6
76, 6
77, 9
78, 7
79, 6
80, 5
81, 7
82, 9
83, 6
84, 1
85, 11
86, 1
87, 9
88, 8
89, 4
90, 2
91, 6
92, 9
93, 8
94, 12
95, 11
96, 7
97, 5
98, 8
99, 7
100, 10
101, 3
102, 4
103, 2
104, 1
105, 10
106, 4
107, 4
108, 7
109, 1
110, 4
111, 4
112, 4
113, 10
114, 5
115, 6
